TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2815653,AL325,AL325-2,7743520,7786029,5.3544,4.6042,42.509,10.524,11/24/2017 4:11:40,11/24/2017 9:32:56
2246101,DB0127,DB0127-2,34520,54140,3.4717,1.9131,19.62,10.879,3/22/2017 7:52:50,3/22/2017 11:21:08
2748431,AL426,AL426-1,1272199,1281689,0.9597,0.9589,9.49,10,10/13/2017 8:46:49,10/13/2017 9:44:24
2310146,DB0194,DB0194-1,1707490,1754720,4.6686,4.6686,47.23,11.014,4/6/2017 6:07:35,4/6/2017 10:47:42
2337863,REE075,REE075-2,432850,439310,0.7442,0.7297,6.46,9,4/12/2017 13:04:08,4/12/2017 13:48:47
2674670,AL261,AL261-2,513380,534640,2.0506,2.0506,21.26,10.368,8/27/2017 13:32:37,8/27/2017 15:35:39
2155447,EV0142,EV0142-1,17276000,17345150,13.6,5.2464,69.15,13.815,2/27/2017 16:38:05,2/28/2017 6:14:05
2116897,REE095,REE095-2,645510,646700,0.1208,0.1208,1.19,10.555,2/12/2017 18:35:56,2/12/2017 18:43:11
2692798,EV0144,EV0144-1,15911100,15915370,0.3903,0.3903,4.27,12.748,9/8/2017 10:16:03,9/8/2017 10:39:28
2408665,DB0109,DB0109-2,132820,184350,5.3825,5.3825,51.53,10.286,4/30/2017 6:00:39,4/30/2017 11:23:36
2240730,AL732,AL732-1,2951820,3011340,9.5061,4.4508,59.52,13.88,3/20/2017 21:32:57,3/21/2017 7:03:19
2623576,DB0170,DB0170-1,319680,321420,0.17,0.17,1.74,10.235,7/24/2017 18:04:41,7/24/2017 18:14:53
2556982,REE222,REE222-1,361090,432110,12.8678,7.3678,71.02,10.52,6/16/2017 20:32:26,6/17/2017 9:24:30
2002345,EV0126,EV0126-1,11649140,11660020,0.9989,0.9989,10.88,11.024,1/4/2017 18:08:08,1/4/2017 19:08:04
2679795,EV0108,EV0108-1,11047080,11052060,0.4717,0.4717,4.98,10.795,8/31/2017 6:43:08,8/31/2017 7:11:26
2602089,REE039,REE039-2,510830,567020,6.0886,6.0886,56.19,10.44,7/11/2017 6:50:20,7/11/2017 12:55:39
2447536,deleted_on_Wed May 03 ,deleted_on_Wed May 03 -1,1957599,1977660,7.7494,2.5,20.061,11.143,5/10/2017 7:50:31,5/10/2017 15:35:29
2571670,DB0117,DB0117-2,984580,1012590,5.4481,3.3722,28.01,10.879,6/24/2017 10:43:06,6/24/2017 16:09:59
2580183,AL580,AL580-2,8668810,8720720,11.7114,6.2114,51.91,10.2,6/28/2017 17:37:15,6/29/2017 5:19:56
2382246,AL263,AL263-2,2067860,2087000,1.9719,1.9717,19.14,10.2,4/22/2017 18:10:46,4/22/2017 20:09:05
2522989,AL832,AL832-2,5315650,5354160,18.6736,3.9714,38.51,10.56,5/31/2017 19:31:43,6/1/2017 14:12:08
2231028,DB0223,DB0223-2,299730,302740,0.3222,0.3222,3.01,9.52,3/18/2017 12:57:16,3/18/2017 13:16:36
2702754,DB0130,DB0130-1,1352590,1364580,1.2942,1.2942,11.99,9.44,9/14/2017 18:01:49,9/14/2017 19:19:28
2540522,EV0100,EV0100-1,15182750,15248200,8.1911,5.2469,65.45,13.92,6/8/2017 21:43:16,6/9/2017 5:54:44
2264733,AL546,AL546-1,429989,464299,3.1389,3.1375,34.31,11.08,3/26/2017 12:51:16,3/26/2017 15:59:36
2732807,REE019,REE019-1,2845950,2871590,2.5614,2.5614,25.64,10.2,10/3/2017 12:28:18,10/3/2017 15:01:59
2828755,AL262,AL262-2,2719149,2721909,0.2772,0.2758,2.76,10.413,12/2/2017 13:41:07,12/2/2017 13:57:45
2695522,DB0271,DB0271-2,3763170,3778530,13.0139,1.4631,15.36,11.536,9/9/2017 23:06:24,9/10/2017 12:07:14
2852922,AL707,AL707-1,8879040,8928570,10.2889,3.75,49.53,13.76,12/19/2017 22:04:37,12/20/2017 8:21:57
2432216,AL906,AL906-1,2101060,2118129,1.4533,1.4531,17.069,12.04,5/6/2017 9:56:06,5/6/2017 11:23:18
2659490,AL125,AL125-1,1349959,1368380,1.7528,1.7519,18.421,10.72,8/16/2017 16:10:00,8/16/2017 17:55:10
2698293,EV0100,EV0100-1,17373730,17445480,10.5353,7.7761,71.75,10.395,9/11/2017 20:29:57,9/12/2017 7:02:04
2740301,AL499,AL499-1,1127250,1131540,0.405,0.4044,4.29,10.942,10/8/2017 8:02:47,10/8/2017 8:27:05
2844377,AL771,AL771-1,4213560,4255629,8.1875,5.1867,42.069,11,12/14/2017 8:21:53,12/14/2017 16:33:08
2014398,AL758,AL758-1,2339520,2369729,3.3817,3.3817,30.209,13.52,1/10/2017 16:40:37,1/10/2017 20:03:31
2723726,AL719,AL719-1,1349349,1366400,9.6939,3,17.051,11.84,9/27/2017 19:46:55,9/28/2017 5:28:33
2808179,AL443,AL443-1,2105229,2112189,0.7108,0.7106,6.96,9.84,11/18/2017 20:40:59,11/18/2017 21:23:38
2684205,RWE013,RWE013-1,3871366,3923884,12.7458,5.3256,52.518,10.044,9/2/2017 18:10:28,9/3/2017 6:55:13
2610644,REE095,REE095-2,1584400,1626300,4.1028,4.1028,41.9,10.44,7/16/2017 7:25:08,7/16/2017 11:31:18
2690235,AL595,AL595-1,4586350,4629040,14.5511,4,42.69,10.92,9/6/2017 17:37:20,9/7/2017 8:10:24
2770482,EV0079,EV0079-1,17110910,17148180,3.6697,3.6697,37.27,10.24,10/27/2017 17:27:11,10/27/2017 21:07:22
2612088,RWE020,RWE020-1,2084427,2125284,4.215,4.215,40.857,9.702,7/17/2017 7:36:02,7/17/2017 11:48:56
2779050,EV0183,EV0183-1,6969490,7020550,11.2136,5.0408,51.06,10.79,11/1/2017 19:11:26,11/2/2017 6:24:15
2605666,AL462,AL462-1,1820949,1839660,5.7125,2,18.711,10.04,7/13/2017 7:06:47,7/13/2017 12:49:32
2698352,EV0207,EV0207-1,16670430,16731440,14.4242,7.0575,61.01,10.532,9/12/2017 1:17:18,9/12/2017 15:42:45
2863174,DB0295,DB0295-1,3816170,3878450,15.0653,6.3728,62.28,10.72,12/27/2017 19:22:38,12/28/2017 10:26:33
2662261,AL150,AL150-1,1064630,1086619,2.1389,2.1389,21.989,12.92,8/18/2017 15:43:45,8/18/2017 17:52:05
2500044,REE631,REE631-1,30331690,30385610,14.8339,4.2244,53.92,13.4,5/23/2017 16:31:32,5/24/2017 7:21:34
2860735,AL180,AL180-1,4437439,4459319,2.1994,2.1994,21.88,9.948,12/25/2017 14:18:38,12/25/2017 16:30:36
2234086,AL478,AL478-2,29559,51490,2.7233,2.5,21.931,10.48,3/19/2017 9:58:41,3/19/2017 12:42:05
2068195,DB0278,DB0278-1,396870,421850,9.4833,2.4833,24.98,10.44,1/30/2017 21:01:46,1/31/2017 6:30:46
2002222,DB0337,DB0337-2,1013860,1018250,0.4358,0.4358,4.39,10.32,1/4/2017 17:26:45,1/4/2017 17:52:54
2060145,EVP0002,EVP0002-1,11269180,11298340,12.4206,2.7494,29.16,10.96,1/27/2017 19:42:02,1/28/2017 8:07:16
2841705,DB0224,DB0224-2,218330,234870,1.6358,1.6358,16.54,10.24,12/12/2017 11:40:19,12/12/2017 13:18:28
2232973,AL718,AL718-1,3539,23750,2.0539,2.0531,20.211,10.178,3/18/2017 18:39:44,3/18/2017 20:42:58
2033046,REE641,REE641-1,1292270,1316790,1.8539,1.8539,24.52,13.375,1/18/2017 10:21:21,1/18/2017 12:12:35
2610158,REE229,REE229-1,309460,329450,1.8672,1.8672,19.99,11.04,7/15/2017 15:16:17,7/15/2017 17:08:19
2152513,EV0227,EV0227-1,10716910,10731560,1.3311,1.3311,14.65,11.117,2/26/2017 11:40:11,2/26/2017 13:00:03
2771372,AL537,AL537-2,4940500,4957730,1.6878,1.6878,17.23,14.318,10/28/2017 10:50:12,10/28/2017 12:31:28
2264786,REE551,REE551-1,16809250,16818270,8.6172,0.9572,9.02,10.96,3/26/2017 13:02:34,3/26/2017 21:39:36
